RunTime,ExecutableName
2018-03-31 16:08:14,\VOLUME{01d3c565d4f49eb4-60d53ee6}\WINDOWS\SYSTEMAPPS\MICROSOFT.MICROSOFTEDGE_8WEKYB3D8BBWE\MICROSOFTEDGECP.EXE
2018-03-31 16:08:14,\VOLUME{01d3c565d4f49eb4-60d53ee6}\WINDOWS\SYSTEMAPPS\MICROSOFT.MICROSOFTEDGE_8WEKYB3D8BBWE\MICROSOFTEDGECP.EXE
2018-03-31 16:08:14,\VOLUME{01d3c565d4f49eb4-60d53ee6}\WINDOWS\SYSTEMAPPS\MICROSOFT.MICROSOFTEDGE_8WEKYB3D8BBWE\MICROSOFTEDGECP.EXE
2018-03-31 14:48:07,\VOLUME{01d3c565d4f49eb4-60d53ee6}\WINDOWS\SYSTEMAPPS\MICROSOFT.MICROSOFTEDGE_8WEKYB3D8BBWE\MICROSOFTEDGECP.EXE
2018-03-31 14:48:06,\VOLUME{01d3c565d4f49eb4-60d53ee6}\WINDOWS\SYSTEMAPPS\MICROSOFT.MICROSOFTEDGE_8WEKYB3D8BBWE\MICROSOFTEDGECP.EXE
2018-03-31 14:48:06,\VOLUME{01d3c565d4f49eb4-60d53ee6}\WINDOWS\SYSTEMAPPS\MICROSOFT.MICROSOFTEDGE_8WEKYB3D8BBWE\MICROSOFTEDGECP.EXE
2018-03-31 14:48:05,\VOLUME{01d3c565d4f49eb4-60d53ee6}\WINDOWS\SYSTEMAPPS\MICROSOFT.MICROSOFTEDGE_8WEKYB3D8BBWE\MICROSOFTEDGECP.EXE
2018-03-31 14:48:05,\VOLUME{01d3c565d4f49eb4-60d53ee6}\WINDOWS\SYSTEMAPPS\MICROSOFT.MICROSOFTEDGE_8WEKYB3D8BBWE\MICROSOFTEDGECP.EXE
2018-04-03 12:39:41,\VOLUME{01d3c565d4f49eb4-60d53ee6}\WINDOWS\SYSTEM32\DLLHOST.EXE
2018-04-03 00:45:29,\VOLUME{01d3c565d4f49eb4-60d53ee6}\WINDOWS\SYSTEM32\DLLHOST.EXE
2018-04-03 00:12:02,\VOLUME{01d3c565d4f49eb4-60d53ee6}\WINDOWS\SYSTEM32\DLLHOST.EXE
2018-03-31 18:16:13,\VOLUME{01d3c565d4f49eb4-60d53ee6}\WINDOWS\SYSTEM32\DLLHOST.EXE
2018-03-31 15:04:37,\VOLUME{01d3c565d4f49eb4-60d53ee6}\WINDOWS\SYSTEM32\DLLHOST.EXE
2018-03-31 14:46:36,\VOLUME{01d3c565d4f49eb4-60d53ee6}\WINDOWS\SYSTEM32\DLLHOST.EXE
2018-03-31 13:05:00,\VOLUME{01d3c565d4f49eb4-60d53ee6}\WINDOWS\SYSTEM32\DLLHOST.EXE
2018-03-31 12:49:33,\VOLUME{01d3c565d4f49eb4-60d53ee6}\WINDOWS\SYSTEM32\DLLHOST.EXE
2018-03-31 15:37:53,\VOLUME{01d3c565d4f49eb4-60d53ee6}\WINDOWS\SYSTEM32\DLLHOST.EXE
2018-03-31 16:05:07,\VOLUME{01d3c565d4f49eb4-60d53ee6}\USERS\ETHAN_LOCAL\DOWNLOADS\CAT_AND_DOG_SCREENSAVER.EXE
2018-04-03 13:37:36,\VOLUME{01d3c565d4f49eb4-60d53ee6}\WINDOWS\SYSTEM32\RUNTIMEBROKER.EXE
2018-04-03 00:11:10,\VOLUME{01d3c565d4f49eb4-60d53ee6}\WINDOWS\SYSWOW64\WERFAULT.EXE
2018-03-31 14:38:49,\VOLUME{01d3c565d4f49eb4-60d53ee6}\WINDOWS\SYSWOW64\WERFAULT.EXE
2018-03-31 14:38:48,\VOLUME{01d3c565d4f49eb4-60d53ee6}\WINDOWS\SYSWOW64\WERFAULT.EXE
2018-04-03 00:54:20,\VOLUME{01d3c565d4f49eb4-60d53ee6}\WINDOWS\SYSTEM32\MUSNOTIFICATIONUX.EXE
2018-04-03 00:54:17,\VOLUME{01d3c565d4f49eb4-60d53ee6}\WINDOWS\SYSTEM32\MUSNOTIFICATIONUX.EXE
2018-04-03 16:30:29,\VOLUME{01d3c565d4f49eb4-60d53ee6}\WINDOWS\SYSTEM32\RUNTIMEBROKER.EXE
2018-04-03 00:57:44,\VOLUME{01d3c565d4f49eb4-60d53ee6}\WINDOWS\SYSTEM32\RUNTIMEBROKER.EXE
2018-04-03 00:13:49,\VOLUME{01d3c565d4f49eb4-60d53ee6}\WINDOWS\SYSTEM32\RUNTIMEBROKER.EXE
2018-04-03 00:09:30,\VOLUME{01d3c565d4f49eb4-60d53ee6}\WINDOWS\SYSTEM32\RUNTIMEBROKER.EXE
2018-03-31 14:51:02,\VOLUME{01d3c565d4f49eb4-60d53ee6}\WINDOWS\SYSTEM32\RUNTIMEBROKER.EXE
2018-03-31 14:47:48,\VOLUME{01d3c565d4f49eb4-60d53ee6}\WINDOWS\SYSTEM32\RUNTIMEBROKER.EXE
2018-03-31 12:49:13,\VOLUME{01d3c565d4f49eb4-60d53ee6}\WINDOWS\SYSTEM32\RUNTIMEBROKER.EXE
2018-03-27 00:11:11,\VOLUME{01d3c565d4f49eb4-60d53ee6}\WINDOWS\SYSTEM32\RUNTIMEBROKER.EXE
2018-03-31 15:23:40,\VOLUME{01d3c565d4f49eb4-60d53ee6}\WINDOWS\SYSTEM32\RUNTIMEBROKER.EXE
2018-04-03 01:12:53,\VOLUME{01d3c565d4f49eb4-60d53ee6}\WINDOWS\MICROSOFT.NET\FRAMEWORK64\V4.0.30319\MSCORSVW.EXE
2018-04-03 01:00:29,\VOLUME{01d3c565d4f49eb4-60d53ee6}\WINDOWS\MICROSOFT.NET\FRAMEWORK64\V4.0.30319\MSCORSVW.EXE
2018-04-03 01:00:29,\VOLUME{01d3c565d4f49eb4-60d53ee6}\WINDOWS\MICROSOFT.NET\FRAMEWORK64\V4.0.30319\MSCORSVW.EXE
2018-04-03 00:58:28,\VOLUME{01d3c565d4f49eb4-60d53ee6}\WINDOWS\MICROSOFT.NET\FRAMEWORK64\V4.0.30319\MSCORSVW.EXE
2018-04-03 00:58:28,\VOLUME{01d3c565d4f49eb4-60d53ee6}\WINDOWS\MICROSOFT.NET\FRAMEWORK64\V4.0.30319\MSCORSVW.EXE
2018-04-03 00:58:26,\VOLUME{01d3c565d4f49eb4-60d53ee6}\WINDOWS\MICROSOFT.NET\FRAMEWORK64\V4.0.30319\MSCORSVW.EXE
